Bureau of Meteorology station number,Station name,Year site opened,Year site closed,"Latitude (decimal degrees, south negative)","Longitude (decimal degrees, east positive)",Height of station above mean sea level (metres),State
70277,MELBA (VERBRUGGHEN STREET),1973, ,-35.21,149.05,580, NSW
70242,ARANDA (BINDAGA ST),1971, ,-35.26,149.07,630, NSW
70093,HUNTLY,1956, ,-35.28,148.98,580, NSW
70339,TUGGERANONG (ISABELLA PLAINS) AWS,1996,,-35.42,149.09,587,NSW
70351,CANBERRA AIRPORT,2008,,-35.31,149.2,577,NSW
