trait,species,mean,max
Leaf.length,Cymbonotus.preissianus,30,30
Leaf.length,Cynodon.dactylon,15,15
Leaf.length,Cynodon.incompletus,15,15
Leaf.length,Cynodon.transvaalensis,5,5
Leaf.length,Cynoglossum.australe,6,6
Leaf.length,Cynoglossum.creticum,20,20
Leaf.length,Cynoglossum.suaveolens,20,20
Leaf.length,Daucus.carota,15,15
Leaf.length,Daucus.glochidiatus,5,5
Leaf.length,Desmodium.acanthocladum,2.5,2.5
Leaf.length,Desmodium.brachypodum,7,7
Leaf.length,Desmodium.campylocaulon,10,10
Leaf.length,Desmodium.gangeticum,8,8
Leaf.length,Desmodium.gunnii,2,2
Leaf.length,Desmodium.heterocarpon,7,7
Leaf.length,Desmodium.intortum,10,10
Leaf.length,Desmodium.nemorosum,8,8
Leaf.length,Desmodium.rhytidophyllum,7,7
Leaf.length,Desmodium.uncinatum,10,10
Leaf.length,Desmodium.varians,4,4
Leaf.length,Dichondra.repens,25,25
Leaf.length,Digitaria.velutina,15,15
Leaf.length,Drosera.arcturi,7,7
Leaf.length,Drosera.binata,10,10
Leaf.length,Drosera.burmanni,1,1
Leaf.length,Drosera.capensis,3.5,3.5
Leaf.length,Drosera.indica,15,15
Leaf.length,Drosera.peltata,0.7,0.7
Leaf.length,Drosera.pygmaea,0.5,0.5
Leaf.length,Drosera.spatulata,2,2
Leaf.length,Echium.italicum,30,30
Leaf.length,Echium.plantagineum,30,30
Leaf.length,Echium.vulgare,15,15
Leaf.length,Epilobium.billardierianum,4,4
Leaf.length,Epilobium.ciliatum,8,8
Leaf.length,Epilobium.curtisiae,2,2
Leaf.length,Epilobium.gunnianum,6,6
Leaf.length,Epilobium.hirsutum,12,12
Leaf.length,Epilobium.hirtigerum,6,6
Leaf.length,Epilobium.pallidiflorum,8,8
Leaf.length,Epilobium.sarmentaceum,4,4
Leaf.length,Epilobium.tasmanicum,2,2
Leaf.length,Eragrostis.lanicaulis,7,7
Leaf.length,Erodium.aureum,3.5,3.5
Leaf.length,Erodium.botrys,14,14
Leaf.length,Erodium.brachycarpum,15,15
Leaf.length,Erodium.carolinianum,7,7
Leaf.length,Erodium.cicutarium,11,11
Leaf.length,Erodium.crinitum,4,4
Leaf.length,Erodium.malacoides,5,5
Leaf.length,Erodium.moschatum,15,15
Leaf.length,Euchiton.involucratus,20,20
Leaf.length,Euchiton.japonicus,18,18
Leaf.length,Euchiton.limosus,5,5
Leaf.length,Euchiton.sphaericus,7,7
Leaf.length,Euchiton.traversii,3,3
Leaf.length,Euchiton.umbricola,6,6
Leaf.length,Euphorbia.australis,0.8,0.8
Leaf.length,Euphorbia.bifida,4.5,4.5
Leaf.length,Euphorbia.dallachyana,1,1
Leaf.length,Euphorbia.davidii,6,6
Leaf.length,Euphorbia.drummondii,1,1
Leaf.length,Euphorbia.falcata,3,3
Leaf.length,Euphorbia.helioscopia,4,4
Leaf.length,Euphorbia.hirta,4,4
Leaf.length,Euphorbia.hyssopifolia,3,3
Leaf.length,Euphorbia.lathyris,16,16
Leaf.length,Euphorbia.maculata,0.8,0.8
Leaf.length,Euphorbia.marginata,7.5,7.5
Leaf.length,Euphorbia.oblongata,6,6
Leaf.length,Euphorbia.ophthalmica,1.5,1.5
Leaf.length,Euphorbia.paralias,2,2
Leaf.length,Euphorbia.peplus,1.5,1.5
Leaf.length,Euphorbia.planiticola,5,5
Leaf.length,Euphorbia.prostrata,0.8,0.8
Leaf.length,Euphorbia.psammogeton,3,3
Leaf.length,Euphorbia.sarcostemmoides,0.4,0.4
Leaf.length,Euphorbia.stevenii,3,3
Leaf.length,Euphorbia.terracina,4,4
Leaf.length,Euphorbia.wheeleri,1.5,1.5
Leaf.length,Festuca.arundinacea,50,50
Leaf.length,Galium.aparine,6,6
Leaf.length,Galium.australe,1.2,1.2
Leaf.length,Galium.binifolium,1.2,1.2
Leaf.length,Galium.bungoniensis,1.4,1.4
Leaf.length,Galium.ciliare,1.2,1.2
Leaf.length,Galium.divaricatum,1,1
Leaf.length,Galium.gaudichaudii,0.8,0.8
Leaf.length,Galium.leiocarpum,1.5,1.5
Leaf.length,Galium.leptogonium,1.5,1.5
Leaf.length,Galium.liratum,1.5,1.5
Leaf.length,Galium.microlobum,1,1
Leaf.length,Galium.murale,0.8,0.8
Leaf.length,Galium.palustre,1,1
Leaf.length,Galium.polyanthum,2.5,2.5
Leaf.length,Galium.roddii,4.5,4.5
Leaf.length,Galium.spurium,3,3
Leaf.length,Galium.tricornutum,5,5
Leaf.length,Gamochaeta.americana,12,12
Leaf.length,Gamochaeta.antillana,4,4
Leaf.length,Gamochaeta.calviceps,3,3
Leaf.length,Gamochaeta.coarctata,7,7
Leaf.length,Gamochaeta.pensylvanica,8,8
Leaf.length,Gamochaeta.purpurea,12,12
Leaf.length,Geranium.antrorsum,4,4
Leaf.length,Geranium.dissectum,3,3
Leaf.length,Geranium.gardneri,4,4
Leaf.length,Geranium.graniticola,3,3
Leaf.length,Geranium.homeanum,4,4
Leaf.length,Geranium.molle,2,2
Leaf.length,Geranium.neglectum,3,3
Leaf.length,Geranium.obtusisepalum,2,2
Leaf.length,Geranium.potentilloides,3.5,3.5
Leaf.length,Geranium.purpureum,5,5
Leaf.length,Geranium.retrorsum,2,2
Leaf.length,Geranium.robertianum,8,8
Leaf.length,Geranium.sessiliflorum,2,2
Leaf.length,Geranium.solanderi,3,3
Leaf.length,Glycine.canescens,8,8
Leaf.length,Glycine.clandestina,8,8
Leaf.length,Glycine.cyrtoloba,4.5,4.5
Leaf.length,Glycine.latifolia,5.8,5.8
Leaf.length,Glycine.microphylla,5,5
Leaf.length,Glycine.pacifica,10,10
Leaf.length,Glycine.rubiginosa,5.5,5.5
Leaf.length,Glycine.stenophita,8,8
Leaf.length,Glycine.tabacina,7,7
Leaf.length,Glycine.tomentella,6.5,6.5
Leaf.length,Gnaphalium.diamantinense,2.5,2.5
Leaf.length,Gnaphalium.indutum,1.5,1.5
Leaf.length,Gnaphalium.polycaulon,4.5,4.5
Leaf.length,Haloragis.aspera,4,4
Leaf.length,Haloragis.exalata,10,10
Leaf.length,Haloragis.glauca,4.5,4.5
Leaf.length,Haloragis.heterophylla,3,3
Leaf.length,Haloragis.milesiae,8,8
Leaf.length,Haloragis.odontocarpa,4,4
Leaf.length,Haloragis.serra,4.5,4.5
Leaf.length,Haloragis.stricta,4,4
Leaf.length,Hirschfeldia.incana,20,20
Leaf.length,Hydrocotyle.rivularis,11,11
Leaf.length,Hydrocotyle.trachycarpa,20,20
Leaf.length,Hydrocotyle.tripartita,1,1
Leaf.length,Hypericum.androsaemum,9,9
Leaf.length,Hypericum.calycinum,10,10
Leaf.length,Hypericum.elodes,3,3
Leaf.length,Hypericum.gramineum,1.3,1.3
Leaf.length,Hypericum.hypericoides,2,2
Leaf.length,Hypericum.japonicum,0.8,0.8
Leaf.length,Hypericum.kouytchense,6,6
Leaf.length,Hypericum.patulum,6,6
Leaf.length,Hypericum.perforatum,4,4
Leaf.length,Hypochaeris.glabra,15,15
Leaf.length,Hypochaeris.microcephala,15,15
Leaf.length,Hypochaeris.radicata,20,20
Leaf.length,Isoetopsis.graminifolia,5,5
Leaf.length,Isolepis.australiensis,3,3
Leaf.length,Isolepis.cernua,4,4
Leaf.length,Isolepis.congrua,9,9
Leaf.length,Isolepis.gaudichaudiana,2,2
Leaf.length,Isolepis.hookeriana,1,1
Leaf.length,Isolepis.inundata,6,6
Leaf.length,Isolepis.marginata,4,4
Leaf.length,Isolepis.montivaga,6,6
Leaf.length,Isolepis.platycarpa,1.5,1.5
Leaf.length,Isolepis.sepulcralis,10,10
Leaf.length,Isolepis.stellata,2.5,2.5
Leaf.length,Isolepis.subtilissima,9,9
Leaf.length,Isolepis.victoriensis,2,2
Leaf.length,Juncus.aridicola,24,24
Leaf.length,Juncus.australis,19,19
Leaf.length,Juncus.brevibracteus,19,19
Leaf.length,Juncus.continuus,14,14
Leaf.length,Juncus.dolichanthus,8,8
Leaf.length,Juncus.effusus,13,13
Leaf.length,Juncus.filicaulis,6,6
Leaf.length,Juncus.firmus,27,27
Leaf.length,Juncus.flavidus,17,17
Leaf.length,Juncus.gregiflorus,22,22
Leaf.length,Juncus.ingens,35,35
Leaf.length,Juncus.laeviusculus,21,21
Leaf.length,Juncus.pallidus,30,30
Leaf.length,Juncus.pauciflorus,15,15
Leaf.length,Juncus.phaeanthus,15,15
Leaf.length,Juncus.polyanthemus,27,27
Leaf.length,Juncus.procerus,35,35
Leaf.length,Juncus.psammophilus,28,28
Leaf.length,Juncus.radula,14,14
Leaf.length,Juncus.remotiflorus,13,13
Leaf.length,Juncus.sarophorus,40,40
Leaf.length,Juncus.semisolidus,36,36
Leaf.length,Juncus.subglaucus,17,17
Leaf.length,Juncus.subsecundus,11,11
Leaf.length,Juncus.usitatus,18,18
Leaf.length,Juncus.vaginatus,24,24
Leaf.length,Lactuca.saligna,20,20
Leaf.length,Linaria.arvensis,3.5,3.5
Leaf.length,Linaria.incarnata,4.2,4.2
Leaf.length,Linaria.nigricans,1.2,1.2
Leaf.length,Linaria.pelisseriana,1,1
Leaf.length,Linaria.vulgaris,6,6
Leaf.length,Lolium.loliaceum,15,15
Leaf.length,Lomandra.bracteata,30,30
Leaf.length,Lomandra.brevis,30,30
Leaf.length,Lomandra.collina,30,30
Leaf.length,Lomandra.confertifolia,70,70
Leaf.length,Lomandra.cylindrica,3.5,3.5
Leaf.length,Lomandra.effusa,50,50
Leaf.length,Lomandra.elongata,40,40
Leaf.length,Lomandra.fluviatilis,75,75
Leaf.length,Lomandra.glauca,20,20
Leaf.length,Lomandra.gracilis,40,40
Leaf.length,Lomandra.hystrix,130,130
Leaf.length,Lomandra.laxa,40,40
Leaf.length,Lomandra.leucocephala,60,60
Leaf.length,Lomandra.longifolia,100,100
Leaf.length,Lomandra.micrantha,50,50
Leaf.length,Lomandra.montana,70,70
Leaf.length,Lomandra.multiflora,90,90
Leaf.length,Lomandra.obliqua,4,4
Leaf.length,Lomandra.patens,100,100
Leaf.length,Lomandra.spicata,80,80
Leaf.length,Lythrum.hyssopifolia,2.5,2.5
Leaf.length,Lythrum.paradoxum,7,7
Leaf.length,Lythrum.salicaria,7,7
Leaf.length,Lythrum.wilsonii,2,2
Leaf.length,Malva.dendromorpha,25,25
Leaf.length,Malva.linnaei,10,10
Leaf.length,Malva.preissiana,20,20
Leaf.length,Marrubium.vulgare,3.5,3.5
Leaf.length,Microtis.parviflora,40,40
Leaf.length,Microtis.rara,50,50
Leaf.length,Microtis.unifolia,60,60
Leaf.length,Moenchia.erecta,1.2,1.2
Leaf.length,Myosotis.australis,10,10
Leaf.length,Myosotis.discolor,4,4
Leaf.length,Myosotis.exarrhena,8,8
Leaf.length,Myosotis.sylvatica,8,8
Leaf.length,Nassella.tenuissima,60,60
Leaf.length,Orobanche.cernua,2,2
Leaf.length,Orobanche.minor,1.5,1.5
Leaf.length,Oxalis.articulata,1.5,1.5
Leaf.length,Oxalis.bifurca,0.8,0.8
Leaf.length,Oxalis.bowiei,4.5,4.5
Leaf.length,Oxalis.brasiliensis,4,4
Leaf.length,Oxalis.caprae,3,3
Leaf.length,Oxalis.chnoodes,1.4,1.4
Leaf.length,Oxalis.corniculata,1.3,1.3
Leaf.length,Oxalis.debilis,4.2,4.2
Leaf.length,Oxalis.exilis,3.5,3.5
Leaf.length,Oxalis.flava,2.5,2.5
Leaf.length,Oxalis.incarnata,1,1
Leaf.length,Oxalis.latifolia,4,4
Leaf.length,Oxalis.perdicaria,0.8,0.8
Leaf.length,Oxalis.perennans,1,1
Leaf.length,Oxalis.purpurea,3,3
Leaf.length,Oxalis.radicosa,0.6,0.6
Leaf.length,Oxalis.rubens,0.6,0.6
