species,trait,mean,max
Cotula.australis,Max.height,0.1,0.1
Crassula.sieberiana,Leaf.length,1,1
Crassula.sieberiana,Leaf.width,3,3
Crassula.sieberiana,Max.height,0.2,0.2
Crepis.capillaris,Leaf.length,25,25
Crepis.capillaris,Leaf.width,50,50
Crepis.capillaris,Max.height,0.75,0.75
Cymbonotus.preissianus,Leaf.length,30,30
Cymbonotus.preissianus,Leaf.width,100,100
Cymbonotus.preissianus,Vegetative.width,0.3,0.3
Cynodon.dactylon,Leaf.length,15,15
Cynodon.dactylon,Leaf.width,4,4
Cynodon.dactylon,Max.height,0.25056,0.4
Cynodon.dactylon,SLA,32.25857142857143,42.782000000000004
Cynoglossum.suaveolens,Leaf.length,20,20
Cynoglossum.suaveolens,Leaf.width,25,25
Cynoglossum.suaveolens,Max.height,0.308,0.45199999999999996
Cynoglossum.suaveolens,Vegetative.height,0.195,0.30300000000000005
Cynoglossum.suaveolens,Vegetative.width,0.1875,0.29900000000000004
Dactylis.glomerata,Leaf.width,14,14
Dactylis.glomerata,Max.height,1.4,1.4
Daucus.glochidiatus,Leaf.length,5,5
Daucus.glochidiatus,Max.height,0.4,0.5599999999999999
Daucus.glochidiatus,SLA,45.74,45.74
Desmodium.varians,Leaf.length,4,4
Desmodium.varians,Leaf.width,20,20
Desmodium.varians,Max.height,0.30214285714285716,0.452
Desmodium.varians,SLA,12.539610197833333,14.436858310000002
Desmodium.varians,Vegetative.height,0.22416666666666668,0.35
Desmodium.varians,Vegetative.width,0.075,0.105
Dichanthium.sericeum,Leaf.width,4,4
Dichanthium.sericeum,Max.height,1.2,1.2
Dichondra.repens,Leaf.length,25,25
Digitaria.brownii,Leaf.width,5,5
Digitaria.brownii,Max.height,0.7,0.78
Digitaria.brownii,SLA,17.39,17.39
Drosera.peltata,Leaf.length,0.7,0.7
Drosera.peltata,Max.height,0.5,0.5
Echium.plantagineum,Leaf.length,30,30
Echium.plantagineum,Leaf.width,80,80
Echium.plantagineum,Max.height,0.49583333333333335,0.6630000000000001
Echium.plantagineum,SLA,32.85,41.050000000000004
Echium.plantagineum,Vegetative.height,0.3525,0.45400000000000007
Echium.plantagineum,Vegetative.width,0.0575,0.084
Eleusine.tristachya,Leaf.width,4,4
Eleusine.tristachya,Max.height,0.4,0.4
Enneapogon.nigricans,Leaf.width,4,4
Enneapogon.nigricans,Max.height,0.5,0.5
Epilobium.billardierianum,Leaf.length,4,4
Epilobium.billardierianum,Leaf.width,18,18
Epilobium.billardierianum,Max.height,1,1
Eragrostis.brownii,Leaf.width,1,1
Eragrostis.brownii,Max.height,0.5,0.58
Eragrostis.brownii,SLA,7.87,7.87
Eragrostis.curvula,Leaf.width,3,3
Eragrostis.curvula,Max.height,0.6,0.8979999999999999
Eragrostis.curvula,Vegetative.height,0.295,0.347
Eragrostis.curvula,Vegetative.width,0.595,0.759
Erodium.botrys,Leaf.length,14,14
Erodium.botrys,Leaf.width,40,40
Erodium.botrys,Max.height,0.32192,0.384384
Erodium.cicutarium,Leaf.length,11,11
Erodium.cicutarium,Leaf.width,30,30
Erodium.cicutarium,Max.height,0.3125,0.6
Erodium.cicutarium,SLA,32.70967033,51.68303296999999
Erodium.crinitum,Leaf.length,4,4
Erodium.crinitum,Leaf.width,30,30
Erodium.crinitum,Max.height,0.7,0.86
Erodium.crinitum,SLA,16,16
Euchiton.japonicus,Leaf.length,18,18
Euchiton.japonicus,Leaf.width,10,10
Euchiton.japonicus,Max.height,0.35,0.35
Euchiton.sphaericus,Leaf.length,7,7
Euchiton.sphaericus,Leaf.width,14,14
Euchiton.sphaericus,Max.height,0.5,0.5
Euphorbia.drummondii,Leaf.length,1,1
Euphorbia.drummondii,Leaf.width,5,5
Euphorbia.drummondii,Max.height,0.2,0.2
Festuca.arundinacea,Leaf.length,50,50
Festuca.arundinacea,Leaf.width,10,10
Festuca.arundinacea,Max.height,1.2,1.2
Galium.gaudichaudii,Leaf.length,0.8,0.8
Galium.gaudichaudii,Leaf.width,1.3,1.3
Galium.gaudichaudii,Max.height,0.3,0.3
Geranium.antrorsum,Leaf.length,4,4
Geranium.antrorsum,Leaf.width,30,30
Geranium.potentilloides,Leaf.length,3.5,3.5
Geranium.potentilloides,Leaf.width,50,50
Geranium.potentilloides,Max.height,0.5,0.5
Geranium.retrorsum,Leaf.length,2,2
Geranium.retrorsum,Leaf.width,30,30
Geranium.solanderi,Leaf.length,3,3
Geranium.solanderi,Leaf.width,50,50
Geranium.solanderi,Max.height,0.10333333333333333,0.118
Geranium.solanderi,Vegetative.height,0.10333333333333333,0.118
Geranium.solanderi,Vegetative.width,0.07333333333333333,0.11199999999999999
Glycine.tabacina,Leaf.length,7,7
Glycine.tabacina,Leaf.width,20,20
Haloragis.heterophylla,Leaf.length,3,3
Haloragis.heterophylla,Max.height,0.5,0.5
Hirschfeldia.incana,Leaf.length,20,20
Hirschfeldia.incana,Max.height,0.7336111111111111,1.135
Hirschfeldia.incana,SLA,22.676666666666666,30.85
Holcus.lanatus,Leaf.width,10,10
Holcus.lanatus,Max.height,0.6282853846153846,1.2669999999999997
Holcus.lanatus,SLA,31.27891779051282,44.012
Holcus.lanatus,Vegetative.height,0.6127272727272727,0.69
Holcus.lanatus,Vegetative.width,0.03166666666666666,0.05199999999999999
Hordeum.leporinum,Leaf.width,7,7
Hordeum.leporinum,Max.height,0.325,0.425
Hordeum.leporinum,SLA,25.75,25.75
Hydrocotyle.laxiflora,Leaf.width,40,40
Hydrocotyle.laxiflora,Max.height,0.15,0.15
Hypericum.gramineum,Leaf.length,1.3,1.3
Hypericum.gramineum,Max.height,0.4,0.4
Hypericum.perforatum,Leaf.length,4,4
Hypericum.perforatum,Max.height,0.5790540540540541,1
Hypericum.perforatum,SLA,27.16016020918919,44.408363638
Hypericum.perforatum,Vegetative.height,0.59375,0.96
Hypericum.perforatum,Vegetative.width,0.21625,0.41500000000000004
Hypochaeris.glabra,Leaf.length,15,15
Hypochaeris.glabra,Leaf.width,30,30
Hypochaeris.glabra,Max.height,0.21504761904761904,0.405
Hypochaeris.glabra,SLA,34.05,50.838
Hypochaeris.glabra,Vegetative.height,0.0351,0.06199999999999999
Hypochaeris.glabra,Vegetative.width,0.07,0.08499999999999999
Hypochaeris.radicata,Leaf.length,20,20
Hypochaeris.radicata,Leaf.width,40,40
Hypochaeris.radicata,Max.height,0.3927111111111111,0.6520000000000001
Hypochaeris.radicata,SLA,20.55880100285714,25.442084649
Hypochaeris.radicata,Vegetative.height,0.07597368421052632,0.14300000000000004
Hypochaeris.radicata,Vegetative.width,0.20483333333333334,0.30200000000000005
Isoetopsis.graminifolia,Leaf.length,5,5
Isoetopsis.graminifolia,Max.height,0.05,0.05
Isoetopsis.graminifolia,SLA,21.73,21.73
Isolepis.levynsiana,Max.height,0.08,0.08
Juncus.bufonius,Leaf.width,1.2,1.2
Juncus.bufonius,Max.height,0.17935,0.31836
Juncus.bufonius,SLA,17.8693632225,21.794217023
Juncus.capitatus,Leaf.width,0.5,0.5
Juncus.capitatus,Max.height,0.07,0.12599999999999997
Juncus.subsecundus,Leaf.length,11,11
Juncus.subsecundus,Max.height,0.5425,0.6684999999999999
Juncus.subsecundus,Vegetative.height,0.385,0.385
Juncus.subsecundus,Vegetative.width,0.11,0.11
Lactuca.serriola,Max.height,1.18,1.8359999999999999
Lactuca.serriola,Vegetative.height,0.36,0.36
Lactuca.serriola,Vegetative.width,0.34,0.34
Linaria.pelisseriana,Leaf.length,1,1
Linaria.pelisseriana,Leaf.width,2.5,2.5
